SOC Code,NOS count,Occupation
2122,1668,Mechanical engineers
8111,615,"Food, drink and tobacco process operatives"
8114,460,Chemical and related process operatives
3417,360,"Photographers, audio-visual and broadcasting equipment operators"
3416,342,"Arts officers, producers and directors"
6139,310,Animal care services occupations n.e.c.
4112,284,National government administrative occupations
9241,258,Security guards and related occupations
8149,247,Construction operatives n.e.c.
7111,236,Sales and retail assistants
2423,230,Management consultants and business analysts
5119,217,Agricultural and fishing trades n.e.c.
5434,216,Chefs
3111,193,Laboratory technicians
3239,186,Welfare and housing associate professionals n.e.c.
1161,186,Managers and directors in transport and distribution
3534,178,Finance and investment analysts and advisers
5441,160,"Glass and ceramics makers, decorators and finishers"
3565,157,Inspectors of standards and regulations
5231,153,"Vehicle technicians, mechanics and electricians"
1190,152,Managers and directors in retail and wholesale
4133,150,Stock control clerks and assistants
1251,146,"Property, housing and estate managers"
5319,134,Construction and building trades n.e.c.
2443,123,Probation officers
5314,118,Plumbers and heating and ventilating engineers
5449,117,Other skilled trades n.e.c.
8121,116,Paper and wood machine operatives
1132,113,Marketing and sales directors
5223,111,Metal working production and maintenance fitters
4159,109,Other administrative occupations n.e.c.
3422,108,"Product, clothing and related designers"
1259,106,Managers and proprietors in other services n.e.c.
1170,103,NA
8211,102,Large goods vehicle drivers
9235,101,Refuse and salvage occupations
6240,100,Cleaning and housekeeping managers and supervisors
3442,97,"Sports coaches, instructors and officials"
3314,94,Prison service officers (below principal officer)
4114,94,Officers of non-governmental organisations
9260,91,Elementary storage occupations
6222,90,Beauticians and related occupations
3533,88,Insurance underwriters
3567,88,Health and safety officers
2419,87,Legal professionals n.e.c.
5232,84,Vehicle body builders and repairers 
6221,83,Hairdressers and barbers
5422,78,Printers
2436,78,Construction project managers and related professionals
5312,77,Bricklayers and masons
1139,77,Functional managers and directors n.e.c.
2429,76,"Business, research and administrative professionals n.e.c."
4132,74,Pensions and insurance clerks and assistants
7219,73,Customer service occupations n.e.c.
5431,73,Butchers
4113,72,Local government administrative occupations
7125,72,Merchandisers and window dressers
5442,71,Furniture makers and other craft woodworkers
7115,66,Vehicle and parts salespersons and advisers
3113,65,Engineering technicians
3114,62,Building and civil engineering technicians
4216,62,Receptionists
8122,60,Coal mine operatives
7129,60,Sales related occupations n.e.c.
5249,60,Electrical and electronic trades n.e.c.
3543,59,Marketing associate professionals
9242,59,Parking and civil enforcement occupations
1150,57,Financial institution managers and directors
3415,56,Musicians
2114,55,Social and humanities scientists
8233,54,Air transport operatives
5330,54,Construction and building trades supervisors
5315,54,Carpenters and joiners
9273,53,Waiters and waitresses
3234,52,Housing officers
2471,51,"Journalists, newspaper and periodical editors"
3561,51,Public services associate professionals
5313,50,"Roofers, roof tilers and slaters"
2142,50,Environment professionals
8213,49,Bus and coach drivers
3411,48,Artists
5241,48,Electricians and electrical fitters
8234,47,Rail transport operatives
3443,47,Fitness instructors
9279,46,Other elementary services occupations n.e.c.
8135,46,"Tyre, exhaust and windscreen fitters"
3313,45,Fire service officers (watch manager and below)
1255,45,Waste disposal and environmental services managers
3545,43,Sales accounts and business development managers
8112,43,Glass and ceramics process operatives
2431,43,Architects
9275,43,Leisure and theme park attendants
7211,41,Call and contact centre occupations
3562,41,Human resources and industrial relations officers
5316,41,"Glaziers, window fabricators and fitters"
6123,41,Playworkers
9219,40,Elementary administration occupations n.e.c.
2432,40,Town planning officers
5412,40,Upholsterers
5322,39,Floorers and wall tilers
3421,39,Graphic designers
2136,38,Programmers and software development professionals
1135,38,Human resource managers and directors
9111,38,Farm workers
6131,38,Veterinary nurses
3319,37,Protective service associate professionals n.e.c.
9211,37,"Postal workers, mail sorters, messengers and couriers"
2217,37,Medical radiographers
3315,36,Police community support officers
1221,36,Hotel and accommodation managers and proprietors
3563,35,Vocational and industrial trainers and instructors
1173,35,"Senior officers in fire, ambulance, prison and related services"
3546,34,Conference and exhibition managers and organisers
3541,34,Buyers and procurement officers
5235,33,Aircraft maintenance and related trades
8141,33,"Scaffolders, stagers and riggers"
2222,33,Occupational therapists
4134,32,Transport and distribution clerks and assistants
8212,32,Van drivers
6212,32,Travel agents
8129,31,Plant and machine operatives n.e.c.
2434,31,Chartered surveyors
2129,30,Engineering professionals n.e.c.
6214,30,Air travel assistants
3550,30,Conservation and environmental associate professionals
5211,30,Smiths and forge workers
5433,30,Fishmongers and poultry dressers
3512,30,Aircraft pilots and flight engineers
3537,30,Financial and accounting technicians
9134,29,"Packers, bottlers, canners and fillers"
4121,28,Credit controllers
5323,28,Painters and decorators
3412,28,"Authors, writers and translators"
3520,27,Legal associate professionals
2462,27,Quality assurance and regulatory professionals
5112,27,Horticultural trades
6211,27,Sports and leisure assistants
8232,26,Marine and waterways transport operatives
1122,26,Production managers and directors in construction
1123,26,Production managers and directors in mining and energy
4124,26,Finance officers
3542,25,Business sales executives
6215,25,Rail travel assistants
3311,25,Ncos and other ranks
8126,25,Water and sewerage plant operatives
3544,25,Estate agents and auctioneers
8214,24,Taxi and cab drivers and chauffeurs
3414,23,Dancers and choreographers
4123,22,Bank and post office clerks
1,22,"Managers, directors and senior officials"
9233,21,Cleaners and domestics
5111,20,Farmers
2473,20,Advertising accounts managers and creative directors
8215,19,Driving instructors
8142,19,Road construction operatives
2124,18,Electronics engineers
2421,18,Chartered and certified accountants
8124,16,Energy plant operatives
4214,16,Company secretaries
4151,16,Sales administrators
5234,15,Vehicle paint technicians
3441,15,Sports players
2139,15,Information technology and telecommunications professionals n.e.c.
5321,15,Plasterers
2121,14,Civil engineers
2141,14,Conservation professionals
2319,14,Teaching and other educational professionals n.e.c.
5113,14,Gardeners and landscape gardeners
8229,14,Mobile machine drivers and operatives n.e.c.
1115,13,Chief executives and senior officials
6132,12,Pest control officers
4129,12,Financial administrative occupations n.e.c.
5311,11,Steel erectors
3513,11,Ship and hovercraft officers
1131,11,Financial managers and directors
5225,10,Air-conditioning and refrigeration engineers
8239,10,Other drivers and transport operatives n.e.c.
3312,10,Police officers (sergeant and below)
2426,10,Business and related research professionals
7122,9,"Debt, rent and other cash collectors"
3219,9,Health associate professionals n.e.c.
5443,9,Florists
1134,9,Advertising and public relations directors
7130,9,Sales supervisors
8119,9,Process operatives n.e.c.
1213,9,"Managers and proprietors in forestry, fishing and related services"
7112,9,Retail cashiers and check-out operators
5423,9,Print finishing and binding workers
1225,8,Leisure and sports managers
7220,8,Customer service managers and supervisors
8116,8,Plastics process operatives
2231,8,Nurses
9132,8,Industrial cleaning process occupations
9274,7,Bar staff
2214,7,Ophthalmic opticians
8223,7,Agricultural machinery drivers
6141,7,Nursing auxiliaries and assistants
8219,7,NA
1162,7,Managers and directors in storage and warehousing
3538,6,Financial accounts managers
2318,6,Education advisers and school inspectors
3116,6,"Planning, process and production technicians"
3231,6,Youth and community workers
3218,6,Medical and dental technicians
2133,5,It specialist managers
2119,5,Natural and social science professionals n.e.c.
1252,5,Garage managers and proprietors
1133,5,Purchasing managers and directors
9236,5,Vehicle valeters and cleaners
5436,4,Catering and bar managers
5114,4,Groundsmen and greenkeepers
3511,4,Air traffic controllers
3531,4,"Estimators, valuers and assessors"
5435,3,Cooks
8133,3,Routine inspectors and testers
3413,3,"Actors, entertainers and presenters"
2424,3,Business and financial project management professionals
8117,3,Metal making and treating process operatives
7214,3,Communication operators
5214,2,"Metal plate workers, and riveters"
7114,2,Pharmacy and other dispensing assistants
2433,2,Quantity surveyors
9120,2,Elementary construction occupations
1226,2,Travel agency managers and proprietors
4162,2,Office supervisors
1136,2,Information technology and telecommunications directors
1181,2,Health services and public health managers and directors
2113,2,Physical scientists
6231,2,Housekeepers and related occupations
2135,2,"It business analysts, architects and systems designers"
5341,1,NA
1234,1,NA
5413,1,Footwear and leather working trades
3133,1,NA
3532,1,Brokers
8313,1,NA
5213,1,Sheet metal workers
3539,1,Business and related associate professionals n.e.c.
8134,1,"Weighers, graders and sorters"
2229,1,Therapy professionals n.e.c.
9,1,Elementary occupations
2112,1,Biological scientists and biochemists
6148,1,"Undertakers, mortuary and crematorium assistants"
9278,1,NA
8140,1,NA
2449,1,Welfare professionals n.e.c.
8221,1,Crane drivers
2472,1,Public relations professionals
3235,1,Counsellors
