,Suite_names,hierarchical
0,accessing operations and rigging construction,30
1,accountancy and finance,50
2,activity leadership,59
3,aeronautical engineering suite 2,22
4,aeronautical engineering suite 3,22
5,agricultural management,39
6,air tightness testing,5
7,anti money laundering,37
8,applied waterproof membranes construction,30
9,associated industrial services occupations construction,30
10,automotive engineering suite 3,25
11,bank accounts,47
12,branch management and business and customer commercial relationship management,67
13,building maintenance multi trade repair and refurbishment operations,30
14,building products leadership,63
15,building services engineering technology and project management,60
16,built environment design and consultancy practice,60
17,bulk explosive truck operations,73
18,bus and coach engineering and maintenance,20
19,business continuity management 2014,68
20,cctv strategic and operational management,66
21,chimney engineering construction,30
22,cladding occupations construction,30
23,combined working practices,52
24,composite engineering suite 2,23
25,composite engineering suite 3,23
26,confined spaces,76
27,constructing capital plant steel structures erecting,7
28,construction and civil engineering operations,30
29,construction contracting operations management,60
30,construction design management coordination level 4 nos,30
31,construction diving operations,29
32,construction operations and civil engineering services construction,30
33,construction operations construction,30
34,construction plant or machinery maintenance,31
35,construction senior management,60
36,construction site management,60
37,construction site supervision,60
38,construction using off site manufactured assemblies,30
39,controlling lifting operations construction,29
40,countering financial crime,38
41,credit management,46
42,customer payments for financial products and services,47
43,decorative finishing and industrial painting occupations construction,30
44,demolition construction,31
45,design and draughting,11
46,directors,53
47,down stream gas,18
48,electrical and electronic engineering suite 3,24
49,electrical and electronic engineering suite 3 2004,24
50,electrical and electronic servicing,17
51,electricity network control engineer,56
52,electrotechnical services approved electrician status,14
53,electrotechnical services electrotechnical technology and project management,60
54,electrotechnical services instrumentation,15
55,emergency fire services management,63
56,engineered wood,27
57,engineering and manufacture suite 4,11
58,engineering leadership and management suite 3,11
59,engineering leadership and management suite 4,11
60,engineering leadership and management suite 5,11
61,engineering leadership suite 3,11
62,engineering maintenance and installation suite 2 2008,17
63,engineering maintenance in food manufacture,51
64,engineering maintenance suite 3 2008,17
65,engineering surveying operations,12
66,engineering technical support suite 2 2007,11
67,engineering technical support suite 3 2009,11
68,engineering toolmaking level 3,25
69,engineering toolmaking suite 3,25
70,engineering toolmaking suite 3 2005,25
71,"engineering woodworking, pattern and model making suite 3 2002",25
72,ensuring the compliance of electrical installation work in dwellings with the building regulations england and wales,16
73,erection of precast concrete construction,30
74,expedition leadership and management,63
75,explosive substances and articles,74
76,fabricating steel structures plating,7
77,fabrication and welding engineering suite 3,25
78,fabrication and welding suite 2,25
79,fencing,35
80,"fenestration, installation and surveying",2
81,fibreboard operations,61
82,financial services core competences,63
83,financial services sales process,67
84,financing and credit,46
85,fisheries management,78
86,floorcovering occupations construction,30
87,food business operational management,51
88,food business strategic leadership,51
89,formwork construction,28
90,gas network construction,56
91,gas networks engineering management,56
92,general insurance,45
93,general takaful,45
94,generic financial advice,49
95,glazing,2
96,grips and crane technicians,54
97,harbour masters,55
98,"health, safety and environmental management in the extractive and mineral processing industries",63
99,heating and ventilating,4
100,heritage skills construction,30
101,highways maintenance construction,30
102,hospitality management,51
103,hospitality supervision and leadership,51
104,industrial design,60
105,innovative modern methods of construction,30
106,"inspectors of health, social care, children and young peoples services",57
107,installation and commissioning suite 3,17
108,installation and commissioning suite 3 2003,17
109,"installation of domestic fascias, soffits and bargeboards",19
110,"installation, testing and commissioning of electrical systems and equipment plant",7
111,installing plant and systems mechanical,7
112,installing plant and systems pipefitting,7
113,installing plant and systems small bore tubing occupations,26
114,insulation and building treatments construction,30
115,insurance technicians supervisors,45
116,integrated logistic support ils management suite 4 2003,60
117,integrated systems engineering,18
118,interior systems construction,30
119,investment operations,44
120,investment strategy and management,44
121,land based engineering operations,21
122,land based operations,67
123,leadership and management for care services,57
124,leakage detection and control,56
125,leisure management,62
126,leisure management l3 2005,62
127,"life, pensions and investments",47
128,live events and promotions management,53
129,london market,45
130,long term conditions case management,57
131,maintaining plant and systems electrical,7
132,maintaining plant and systems instrument and controls,7
133,maintaining plant and systems mechanical,7
134,management and leadership,63
135,management of volunteers 2008,70
136,managing in road passenger transport,63
137,managing justice sector services,64
138,managing sport and active leisure 2006,62
139,marine engineering,25
140,marine engineering suite 2,25
141,marine engineering suite 3,25
142,marketing 2013,69
143,mastic asphalt construction,30
144,mechanical engineering services,18
145,mechanical fire protection,42
146,mechanical manufacturing engineering suite 2 2008,25
147,mechanical manufacturing engineering suite 3 2008,25
148,mechanical ride operation,79
149,metal decking and stud welding occupations,9
150,mines management,75
151,monitoring engineering construction activities,7
152,multi utility management skills,61
153,multi utility network construction,56
154,network construction operations,56
155,occupational work supervision construction,60
156,offshore wind and marine installation and commissioning,58
157,oil fired technical services,18
158,outdoor sector senior roles,62
159,paraplanning,43
160,pension scheme trusteeship,41
161,pension trustee board secretaryship,41
162,performing building products operations,6
163,performing engineering operations suite 1,25
164,performing engineering operations suite 1 2006,10
165,performing engineering operations suite 2,25
166,performing engineering operations suite 2 2006,10
167,piling operations construction,32
168,plant installation construction,31
169,plant operations construction,31
170,plant operations extractives,31
171,plastering construction,30
172,plumbing and domestic heating,4
173,polymer processing and related operations,52
174,post tensioning operations construction,30
175,precast and prestressed concrete operations,1
176,precast concrete operations,1
177,production accounting,53
178,production management,51
179,production of glass supporting fabrications,3
180,professional skills for government psg,63
181,"project control, estimating, planning and cost engineering",60
182,project management,60
183,providing advice on savings for retirement,48
184,providing advice on securities or derivatives in the non retail market,43
185,providing advice on securities or derivatives in the retail market,43
186,providing financial advice and financial planning,43
187,rail engineering,13
188,rail engineering overhead line equipment construction suite 2,16
189,rail engineering overhead line equipment construction suite 3,16
190,rail engineering signalling suite 2,13
191,rail engineering signalling suite 3,13
192,rail engineering telecoms suite 2,13
193,rail engineering telecoms suite 3,13
194,rail engineering traction and rolling stock suite 2,17
195,rail engineering traction and rolling stock suite 3,17
196,rail operations supervisory,65
197,refractory installation construction,30
198,refrigeration and air conditioning,4
199,removal of hazardous and non hazardous waste construction,30
200,risk management for the financial sector,68
201,road building and maintenance,31
202,roofing occupations construction,30
203,secretary to the trustees of pension funds,41
204,securing void properties,42
205,security and loss prevention,77
206,security management,66
207,senior crafts construction,30
208,senior producers,53
209,site inspection,60
210,site logistics operations construction,30
211,solar thermal photovoltaic panel installation and surveying,36
212,"solid surface fabrication, installation and templating",34
213,specialist concrete occupations,30
214,specialist concrete occupations construction,30
215,specialist installation occupations construction,30
216,sport and play surfaces level 2,33
217,sport and play surfaces level 3,33
218,stonemasonry construction,30
219,sub structure work occupations construction,30
220,super structure work occupations construction,30
221,supervision of port operations,55
222,supply chain management,51
223,supporting activities in engineering construction,7
224,systems operations and management,40
225,temporary traffic management construction,71
226,traffic management,71
227,treatment processing and control in the water industry,31
228,trowel occupations construction,30
229,trustee and management committee,41
230,tunnelling operations construction,30
231,utilities control centre operations,72
232,utilities network planning and management,56
233,utility infrastructure management,56
234,wall and floor tiling construction,30
235,watch management,63
236,waterproof membrane roofing systems,30
237,waterproof membrane roofing systems construction,30
238,welding pipework,8
239,welding plate and pipework,8
240,welding supervision,8
241,wood merchants,28
242,wood occupations construction,30
243,wood preserving industrial pre treatment construction,28
244,woodmachining construction sawmilling extrusion furniture,27
